Adjetives_Verbs,Nouns_Dependent,Adjetive_Type
bolster,belief,Positive
buil*,belief,Positive
creat*,belief,Positive
establish*,belief,Positive
foster,belief,Positive
great,belief,Positive
high,belief,Positive
immense,belief,Positive
increas*,belief,Positive
inspire,belief,Positive
invigorate,belief,Positive
more,belief,Positive
rebuild,belief,Positive
represent,belief,Positive
restor*,belief,Positive
show,belief,Positive
speak for,belief,Positive
strengthen,belief,Positive
sustain ,belief,Positive
bolster,confidence,Positive
buil*,confidence,Positive
creat*,confidence,Positive
establish*,confidence,Positive
foster,confidence,Positive
great,confidence,Positive
high,confidence,Positive
immense,confidence,Positive
increas*,confidence,Positive
inspire,confidence,Positive
invigorate,confidence,Positive
more,confidence,Positive
rebuild,confidence,Positive
represent,confidence,Positive
restor*,confidence,Positive
show,confidence,Positive
speak for,confidence,Positive
strengthen,confidence,Positive
sustain ,confidence,Positive
bolster,credible,Positive
buil*,credible,Positive
creat*,credible,Positive
establish*,credible,Positive
foster,credible,Positive
great,credible,Positive
high,credible,Positive
immense,credible,Positive
increas*,credible,Positive
inspire,credible,Positive
invigorate,credible,Positive
more,credible,Positive
rebuild,credible,Positive
represent,credible,Positive
restor*,credible,Positive
show,credible,Positive
speak for,credible,Positive
strengthen,credible,Positive
sustain ,credible,Positive
bolster,faith,Positive
buil*,faith,Positive
creat*,faith,Positive
establish*,faith,Positive
foster,faith,Positive
great,faith,Positive
high,faith,Positive
immense,faith,Positive
increas*,faith,Positive
inspire,faith,Positive
invigorate,faith,Positive
more,faith,Positive
rebuild,faith,Positive
represent,faith,Positive
restor*,faith,Positive
show,faith,Positive
speak for,faith,Positive
strengthen,faith,Positive
sustain ,faith,Positive
bolster,hope,Positive
buil*,hope,Positive
creat*,hope,Positive
establish*,hope,Positive
foster,hope,Positive
great,hope,Positive
high,hope,Positive
immense,hope,Positive
increas*,hope,Positive
inspire,hope,Positive
invigorate,hope,Positive
more,hope,Positive
rebuild,hope,Positive
represent,hope,Positive
restor*,hope,Positive
show,hope,Positive
speak for,hope,Positive
strengthen,hope,Positive
sustain ,hope,Positive
bolster,trust,Positive
buil*,trust,Positive
creat*,trust,Positive
establish*,trust,Positive
foster,trust,Positive
great,trust,Positive
high,trust,Positive
immense,trust,Positive
increas*,trust,Positive
inspire,trust,Positive
invigorate,trust,Positive
more,trust,Positive
rebuild,trust,Positive
represent,trust,Positive
restor*,trust,Positive
show,trust,Positive
speak for,trust,Positive
strengthen,trust,Positive
sustain ,trust,Positive
damage,belief,Negative
declin*,belief,Negative
decrease,belief,Negative
falling,belief,Negative
lack of,belief,Negative
lack*,belief,Negative
limited,belief,Negative
little,belief,Negative
lose,belief,Negative
loss,belief,Negative
lost,belief,Negative
low,belief,Negative
no,belief,Negative
not,belief,Negative
plummet,belief,Negative
plunge,belief,Negative
shrink,belief,Negative
weak*,belief,Negative
without,belief,Negative
damage,confidence,Negative
declin*,confidence,Negative
decrease,confidence,Negative
falling,confidence,Negative
lack of,confidence,Negative
lack*,confidence,Negative
limited,confidence,Negative
little,confidence,Negative
lose,confidence,Negative
loss,confidence,Negative
lost,confidence,Negative
low,confidence,Negative
no,confidence,Negative
not,confidence,Negative
plummet,confidence,Negative
plunge,confidence,Negative
shrink,confidence,Negative
weak*,confidence,Negative
without,confidence,Negative
damage,credible,Negative
declin*,credible,Negative
decrease,credible,Negative
falling,credible,Negative
lack of,credible,Negative
lack*,credible,Negative
limited,credible,Negative
little,credible,Negative
lose,credible,Negative
loss,credible,Negative
lost,credible,Negative
low,credible,Negative
no,credible,Negative
not,credible,Negative
plummet,credible,Negative
plunge,credible,Negative
shrink,credible,Negative
weak*,credible,Negative
without,credible,Negative
damage,faith,Negative
declin*,faith,Negative
decrease,faith,Negative
falling,faith,Negative
lack of,faith,Negative
lack*,faith,Negative
limited,faith,Negative
little,faith,Negative
lose,faith,Negative
loss,faith,Negative
lost,faith,Negative
low,faith,Negative
no,faith,Negative
not,faith,Negative
plummet,faith,Negative
plunge,faith,Negative
shrink,faith,Negative
weak*,faith,Negative
without,faith,Negative
damage,hope,Negative
declin*,hope,Negative
decrease,hope,Negative
falling,hope,Negative
lack of,hope,Negative
lack*,hope,Negative
limited,hope,Negative
little,hope,Negative
lose,hope,Negative
loss,hope,Negative
lost,hope,Negative
low,hope,Negative
no,hope,Negative
not,hope,Negative
plummet,hope,Negative
plunge,hope,Negative
shrink,hope,Negative
weak*,hope,Negative
without,hope,Negative
damage,trust,Negative
declin*,trust,Negative
decrease,trust,Negative
falling,trust,Negative
lack of,trust,Negative
lack*,trust,Negative
limited,trust,Negative
little,trust,Negative
lose,trust,Negative
loss,trust,Negative
lost,trust,Negative
low,trust,Negative
no,trust,Negative
not,trust,Negative
plummet,trust,Negative
plunge,trust,Negative
shrink,trust,Negative
weak*,trust,Negative
without,trust,Negative
,trustworth*,Positive
,disbelief,Negative
,mistrust,Negative
,distrust,Negative
,untrustworthy*,Negative
